,emir,bgdes,bgblng,bgrsi,bgema,bgsma,blngbnd,ema,sma,desindic,downBand,upBand,sigma,bho20,rsi,uho21,uho5,bho21,bho5,Date,Close
2256,sat,"[0, 0.2580645161290312, 0.37096774193548443]","[0, 0.9857095371070579, 0.01429046289294206]","[0, 0.1329341317365268, 1]","[0.7576906036629907, 0, 0]","[0.7576906036629907, 0, 0]",50.7145231446471,-0.08712240296597784,-0.08712240296597784,68.54838709677422,5.974139562661465,6.813860437338534,0.1999335415897783,6.394,61.67664670658683,6.415890407081204,6.3287680041152266,6.408095238095237,6.58,2014-04-07,6.4
2257,al,"[0, 0.35483870967741893, 0.32258064516129054]","[0.013192324588746515, 0.9868076754112535, 0]","[0, 0.5653179190751442, 0.08670520231213956]","[0.17311640317027788, 0.6537671936594442, 0]","[0.17311640317027788, 0.6537671936594442, 0]",49.34038377056267,-0.01990564085671309,-0.01990564085671309,66.12903225806453,5.9585909129772965,6.7924090870227065,0.1985281366774786,6.3755000000000015,50.867052023121396,6.407322050321733,6.38741640946502,6.389047619047616,6.55,2014-04-08,6.37
2258,al,"[0.009523809523810201, 0.9809523809523796, 0]","[0.28457301269021895, 0.715426987309781, 0]","[0, 0.2428571428571419, 0.8928571428571452]","[0.1305166368047793, 0.7389667263904414, 0]","[0.1305166368047793, 0.7389667263904414, 0]",35.77134936548905,-0.015007343327868128,-0.015007343327868128,49.52380952380949,5.979684912033885,6.763315087966117,0.1865786133171979,6.3715,58.92857142857145,6.387197415344327,6.3721900720164575,6.376666666666668,6.5020000000000024,2014-04-09,6.26
2259,kuvvetli al,"[0.3706325132007642, 0.25873497359847164, 0]","[0.450329751908429, 0.5496702480915711, 0]","[0, 0.21445783132530097, 0.9638554216867476]","[0.35332728845058436, 0.29334542309883127, 0]","[0.35332728845058436, 0.29334542309883127, 0]",27.48351240457855,-0.04062703464244066,-0.04062703464244066,31.46837433996179,5.963954683207357,6.750045316792648,0.1871644365679268,6.357000000000001,59.638554216867476,6.318610573737091,6.277983539094652,6.371428571428572,6.4460000000000015,2014-04-10,6.18
2260,kuvvetli al,"[0.527918211436916, 0, 0]","[0.5960695270650749, 0.40393047293492507, 0]","[0, 0.7224489795918358, 0]","[0.4194976433297714, 0.1610047133404572, 0]","[0.4194976433297714, 0.1610047133404572, 0]",20.196523646746254,-0.04823557603693107,-0.04823557603693107,23.6040894281542,5.948040063032937,6.749959936967063,0.1909333033176494,6.349000000000001,46.9387755102041,6.243869578094543,6.195634002057612,6.352380952380952,6.364,2014-04-11,6.11
2261,kuvvetli al,"[0.4155712841253784, 0.16885743174924314, 0]","[0.4613285035205661, 0.5386714964794339, 0]","[0, 0.9888888888888892, 0]","[0.4182033309677515, 0.16359333806449702, 0]","[0.4182033309677515, 0.16359333806449702, 0]",26.933574823971696,-0.04808675064220848,-0.04808675064220848,29.22143579373108,5.948071025603431,6.734928974396571,0.18734713066503333,6.341500000000001,40.27777777777777,6.171685001671015,6.123598251028807,6.340952380952383,6.3,2014-04-14,6.16
2262,al,"[0.7297297297297284, 0, 0]","[0.5010622942703897, 0.4989377057296103, 0]","[0, 0.7732283464566916, 0]","[0.10555451057724963, 0.7888909788455007, 0]","[0.10555451057724963, 0.7888909788455007, 0]",24.946885286480516,-0.012137094693968287,-0.012137094693968287,13.513513513513582,5.956822592682835,6.7311774073171655,0.18437019396055496,6.343999999999999,45.66929133858271,6.165384265475861,6.153247170781892,6.330476190476192,6.263999999999999,2014-04-15,6.15
2263,al,"[0.7297297297297284, 0, 0]","[0.4959349116054143, 0.5040650883945856, 0]","[0, 0.9389830508474588, 0]","[0.06288075096138583, 0.8742384980772283, 0]","[0.06288075096138583, 0.8742384980772283, 0]",25.203254419729284,-0.007230289114813716,-0.007230289114813716,13.513513513513582,5.950278650379946,6.742721349620052,0.18867683315240646,6.3465,41.52542372881353,6.1570888282094645,6.149858539094652,6.335238095238098,6.2159999999999975,2014-04-16,6.15
2264,al,"[0.7567567567567572, 0, 0]","[0.5156408534737489, 0.48435914652625117, 0]","[0, 0.8311926605504589, 0]","[0.03444705732916713, 0.9311058853416657, 0]","[0.03444705732916713, 0.9311058853416657, 0]",24.217957326312558,-0.0039608652860616544,-0.0039608652860616544,12.162162162162142,5.9511938032141725,6.730806196785827,0.18562199846944186,6.341,35.779816513761475,6.153266420841616,6.1493055555555545,6.337142857142856,6.1720000000000015,2014-04-17,6.14
2265,al,"[0.09375000000000057, 0.8124999999999989, 0]","[0.00930532551007957, 0.9906946744899204, 0]","[0, 0.8579439252336443, 0]","[0.04543519571318037, 0.9091296085736392, 0]","[0.04543519571318037, 0.9091296085736392, 0]",49.53473372449602,-0.005224326935856283,-0.005224326935856283,45.31249999999997,5.967371298622402,6.7196287013776015,0.1791089054179049,6.3435000000000015,36.448598130841106,6.146112958623098,6.1408886316872415,6.331904761904763,6.15,2014-04-21,6.34
2266,al,"[0.2950000000000007, 0.4099999999999986, 0]","[0.19247862088455064, 0.8075213791154493, 0]","[0.8409090909090893, 0.26363636363636433, 0]","[0, 0.45667202082266095, 0.2716639895886695]","[0, 0.45667202082266095, 0.2716639895886695]",40.37606895577247,0.05550008672498842,0.05550008672498842,35.249999999999964,5.9718543290299975,6.724145670970002,0.17911698617619182,6.348000000000001,21.590909090909108,6.250659892698879,6.306159979423867,6.3338095238095224,6.142,2014-04-22,6.2756
2267,al,"[0, 0.8250000000000032, 0.08749999999999844]","[0, 0.8647202435447319, 0.13527975645526807]","[0, 0.8205607476635504, 0]","[0, 0.5874271028694982, 0.20628644856525094]","[0, 0.5874271028694982, 0.20628644856525094]",56.763987822763404,0.015925189239332838,0.015925189239332838,54.37499999999992,5.974199505356539,6.720800494643463,0.17776214030641,6.347500000000001,35.51401869158876,6.264107989773012,6.280033179012345,6.347619047619048,6.1880000000000015,2014-04-23,6.398
2268,al,"[0, 0.5125000000000043, 0.24374999999999786]","[0, 0.7030972374287188, 0.2969027625712812]","[0, 0.6921751615218955, 0]","[0, 0, 0.5359513690743428]","[0, 0, 0.5359513690743428]",64.84513812856406,0.04137512199638582,0.04137512199638582,62.18749999999989,5.968731400823,6.707828599177003,0.1759755234176198,6.338280000000001,32.30437903804739,6.336304661954231,6.377679783950617,6.344076190476192,6.2111199999999975,2014-04-24,6.448
